id,name,api_football_id,fd_name,rating_mu,rating_sigma
1718,El Paso Locomotive,3993,,1537.7977122311465,3.4411352772824784
1730,Sacramento Republic,4015,,1543.6310423222444,3.444250139919834
99,Almeria,723,Almeria,1527.2523931232581,3.093757505160685
105,Las Palmas,534,Las Palmas,1530.100727885943,3.520178109025937
123,Eibar,545,Eibar,1525.9390761952975,2.7938340201743808
128,Santander,4665,Santander,1528.7633355672115,2.8530804110632046
129,Zaragoza,732,Zaragoza,1519.1669474777614,2.802673582582419
136,Andorra,8157,Andorra,1519.847829074821,3.513057967800004
429,Botafogo RJ,120,Botafogo RJ,1516.8153194111699,1.8627308993232836
498,Sagan Tosu,295,Sagan Tosu,1560.2231448050493,3.368835474880811
505,Albirex Niigata,311,Albirex Niigata,1554.641491743973,3.179568853217845
599,Ural,1084,Ural,1560.2013425101213,4.624139306366401
602,Arsenal Tula,1077,Arsenal Tula,1547.7431420710784,6.951965488094774
703,Godoy Cruz,439,Godoy Cruz,1510.7002647494382,2.5842820588699817
704,All Boys,464,All Boys,1547.4900971245377,59.53503011383874
730,Colon Santa Fe,448,Colon Santa Fe,1512.5302402196114,4.152591114922371
974,Patronato,444,Patronato,1511.7858713347136,5.019017733789624
980,Deportivo Pasto,1126,,1522.1474989920378,2.4684467993617427
992,Internacional de Bogota,1134,,1516.8749447078264,2.5703546754985043
994,Atletico Nacional,1137,,1527.6866158366804,2.3500987877969224
1024,Sportivo Trinidense,1187,,1506.4681339658016,5.223487178787749
1027,Club Guarani,1174,,1503.3159664031457,4.5559438173958915
1047,Racing Montevideo,2359,,1510.986272433826,5.749398508456317
1054,Penarol,2348,,1516.1740402171106,4.752078196339559
1068,Deportes Iquique,2319,,1492.1783250604417,4.00399004584625
1073,Cobreloa,2332,,1497.9979031811097,7.885209164408773
1083,Antofagasta,2327,,1492.6068987308017,6.254252871097943
1170,Rudes,1019,,1329.9942957633516,23.75452697265153
1377,Pacos Ferreira,234,Pacos Ferreira,1507.113462552391,3.223227230467659
1378,União de Leiria,4662,,1513.777376209836,3.594853230582461
1401,Pirin Blagoevgrad,1428,,1428.2140376042807,10.105045806862156
1402,Marek,8543,,1390.9387237680053,17.111578698081324
1403,Etar Veliko Tarnovo,855,,1417.6829427491982,13.44506181563736
1404,Sportist Svoge,8550,,1393.7849733511548,17.40912410740856
1512,Suwon City FC,2756,,1513.3473034654176,3.1573533156315676
1515,Daegu FC,2747,,1512.452297771688,3.153546665300245
1518,Seoul E-Land FC,2749,,1512.8137941051884,8.895124164095288
1520,Busan I Park,2752,,1509.9154853722368,8.85899092900849
1732,Monterey Bay,18375,,1527.9435607840107,3.643190577612146
1776,ADR Jicaral,2043,,1568.5427591497316,5.478808664796947
1823,Kallithea,2095,,1515.3084522623694,10.63741030682666
1928,France,2,,2476.3054564182416,133.73517389292917
1975,Georgia,1104,,1691.1105131445229,149.22518607856088
1981,Belarus,1100,,1513.2556867626167,169.14872819224675
1990,Lithuania,1097,,1020.1413223721912,221.60647475795227
2635,Colombia,8,,2238.516024664491,130.05907026519108
